uav_id,trip_id,phase,start_s,end_s,run_id
U03,T033,交接,6724.590106099264,6904.590106099264,20260923_191417_344885
U03,T033,爬升,6904.590106099264,6920.417380676086,20260923_191417_344885
U03,T033,巡航,6920.417380676086,7324.520912111962,20260923_191417_344885
U03,T033,下降,7324.520912111962,7433.11364160415,20260923_191417_344885
U02,T034,准备装载,6734.134673239673,7064.134673239673,20260923_191417_344885
U02,T034,爬升,7064.134673239673,7154.314395326262,20260923_191417_344885
U02,T034,巡航,7154.314395326262,7797.2057660860255,20260923_191417_344885
U02,T034,下降,7797.2057660860255,7865.181432589932,20260923_191417_344885
U02,T034,交接,7865.181432589932,8045.181432589932,20260923_191417_344885
U02,T034,爬升,8045.181432589932,8101.827821343188,20260923_191417_344885
U02,T034,巡航,8101.827821343188,8744.719192102952,20260923_191417_344885
U02,T034,下降,8744.719192102952,8852.934858606857,20260923_191417_344885
U06,T035,准备装载,6803.115508870498,7133.115508870498,20260923_191417_344885
U06,T035,爬升,7133.115508870498,7212.581455322321,20260923_191417_344885
U06,T035,巡航,7212.581455322321,7424.995333883231,20260923_191417_344885
U06,T035,下降,7424.995333883231,7445.514469625419,20260923_191417_344885
U06,T035,交接,7445.514469625419,7625.514469625419,20260923_191417_344885
U06,T035,爬升,7625.514469625419,7642.613749410575,20260923_191417_344885
U06,T035,巡航,7642.613749410575,7855.027627971485,20260923_191417_344885
U06,T035,下降,7855.027627971485,7950.386763713674,20260923_191417_344885
U01,T036,准备装载,6880.524932076295,7210.524932076295,20260923_191417_344885
U01,T036,爬升,7210.524932076295,7266.41218386666,20260923_191417_344885
U01,T036,巡航,7266.41218386666,7500.418369923464,20260923_191417_344885
U01,T036,下降,7500.418369923464,7533.723072071901,20260923_191417_344885
U01,T036,交接,7533.723072071901,7713.723072071901,20260923_191417_344885
U01,T036,爬升,7713.723072071901,7741.476990528932,20260923_191417_344885
U01,T036,巡航,7741.476990528932,7975.483176585736,20260923_191417_344885
U01,T036,下降,7975.483176585736,8042.5478787341735,20260923_191417_344885
U07,T037,准备装载,6943.138751430439,7273.138751430439,20260923_191417_344885
U07,T037,爬升,7273.138751430439,7339.350316371845,20260923_191417_344885
U07,T037,巡航,7339.350316371845,7719.693313856981,20260923_191417_344885
U07,T037,下降,7719.693313856981,7751.307770033739,20260923_191417_344885
U07,T037,交接,7751.307770033739,7967.307770033739,20260923_191417_344885
U07,T037,爬升,7967.307770033739,7992.599334975145,20260923_191417_344885
U07,T037,巡航,7992.599334975145,8372.942332460281,20260923_191417_344885
U07,T037,下降,8372.942332460281,8455.706788637039,20260923_191417_344885
