from_node,to_node,distance_m,max_dem_m,cruise_altitude_m,climb_m,descent_m,uav_type,flight_time_s
S001,S015,5500.07917347659,547.315185546875,597.315185546875,413.315185546875,122.815185546875,A,645.2377338574241
S001,S015,5500.07917347659,547.315185546875,597.315185546875,413.315185546875,122.815185546875,B,553.5697476328144
S001,S015,5500.07917347659,547.315185546875,597.315185546875,413.315185546875,122.815185546875,C,593.4056118906268
S002,O01,7411.310455084183,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,A,719.9289909673017
S002,O01,7411.310455084183,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,B,596.407150049232
S002,O01,7411.310455084183,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,C,620.4961924076304
S002,S001,4360.597539148686,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688,A,443.3960127838749
S002,S001,4360.597539148686,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688,B,370.7193871313968
S002,S001,4360.597539148686,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688,C,389.2268608862796
S002,S003,9776.0070147188,571.1314086914062,621.1314086914062,401.63140869140625,282.63140869140625,A,1061.596950933598
S002,S003,9776.0070147188,571.1314086914062,621.1314086914062,401.63140869140625,282.63140869140625,B,898.6635006882846
S002,S003,9776.0070147188,571.1314086914062,621.1314086914062,401.63140869140625,282.63140869140625,C,953.702068803519
S002,S004,2248.0176981866334,283.658203125,333.658203125,114.158203125,105.35820312499999,A,267.53082380721946
S002,S004,2248.0176981866334,283.658203125,333.658203125,114.158203125,105.35820312499999,B,230.06386217077556
S002,S004,2248.0176981866334,283.658203125,333.658203125,114.158203125,105.35820312499999,C,248.21022935827554
S002,S005,3475.746984096525,356.79864501953125,406.79864501953125,187.29864501953125,211.79864501953125,A,436.7979216890333
S002,S005,3475.746984096525,356.79864501953125,406.79864501953125,187.29864501953125,211.79864501953125,B,378.8688052874246
S002,S005,3475.746984096525,356.79864501953125,406.79864501953125,187.29864501953125,211.79864501953125,C,412.53524612401316
S002,S006,9184.869515085078,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749,A,855.471510697194
S002,S006,9184.869515085078,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749,B,702.3903521124428
S002,S006,9184.869515085078,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749,C,721.993469788224
S002,S007,8118.281841370918,424.7281799316406,474.7281799316406,255.22817993164062,126.22817993164062,A,812.0908187307796
S002,S007,8118.281841370918,424.7281799316406,474.7281799316406,255.22817993164062,126.22817993164062,B,676.7861213745977
S002,S007,8118.281841370918,424.7281799316406,474.7281799316406,255.22817993164062,126.22817993164062,C,706.4241513632045
S002,S008,4802.361653053604,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969,A,498.687970192618
S002,S008,4802.361653053604,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969,B,418.64860930839126
S002,S008,4802.361653053604,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969,C,440.5656924382741
S002,S009,1724.5471958647918,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812,A,219.28914417037325
S002,S009,1724.5471958647918,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812,B,190.54669090596008
S002,S009,1724.5471958647918,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812,C,207.6277995078481
S002,S010,5917.036166062372,441.85394287109375,491.85394287109375,272.35394287109375,140.25394287109373,A,639.9725719439998
S002,S010,5917.036166062372,441.85394287109375,491.85394287109375,272.35394287109375,140.25394287109373,B,541.3553025096269
S002,S010,5917.036166062372,441.85394287109375,491.85394287109375,272.35394287109375,140.25394287109373,C,573.5376263214758
S002,S011,5781.673943782255,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876,A,589.108744175865
S002,S011,5781.673943782255,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876,B,492.7475117794941
S002,S011,5781.673943782255,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876,C,517.2017350054056
S002,S012,3071.2755268940637,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281,A,370.1836795686459
S002,S012,3071.2755268940637,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281,B,318.9957541204115
S002,S012,3071.2755268940637,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281,C,344.4121296493829
S002,S013,4540.13286339447,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751,A,441.1186451917267
S002,S013,4540.13286339447,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751,B,365.44976413515224
S002,S013,4540.13286339447,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751,C,378.51481865989183
S002,S014,7654.630751146548,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688,A,796.5469249816134
S002,S014,7654.630751146548,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688,B,668.9697457958376
